타임스탬프, [스타크래프트 (starcraft)], [롤 (league of legends)], [메이플스토리 (maple story)], [오버워치 (OverWatch)], [서든어택 (Sudden Attack)], [배틀그라운드 (PUBG)], [마인크래프트 (MineCraft)], [던전 앤 파이터 (Dungeons & Fighters)], [포트나이트 (Fortnite)], [카트라이더 (Cart Rider)], [월드 오브 워크래프트 (WoW)], [사이퍼즈 (Cyphers)], [하스스톤 (Hearth Stone)], [디아블로 (Diablo)], [GTA], [리니지 (Lineage)], [검은사막 (Black Desert)], [크레이지아케이드 (Crazy Arcade)], [카운터스트라이크 (Counter Strike)], [피파온라인 (FIFA Online)], [블레이드 앤 소울 (Blades & Souls)], [FM], [로스트아크 (Lostark)], [포켓몬고 (Pokemon GO)], [앵그리버드 (angry bird)]
11-22-2019 11:56:12,5,,3,4,2,5,5,,,3,4,3,4,,4,,4,,4,3,,,4,5,4
11-22-2019 11:56:44,3,5,3,1,3,,,,,4,,,,,,,,4,,4,,,,,4
11-22-2019 11:56:48,5,4,4,5,3,1,,,,5,,,,5,5,,,3,,5,,5,,,
11-22-2019 11:57:14,5,5,3,2,1,4,4,3,,4,5,3,4,,,2,,3,1,,1,,2,3,4
11-22-2019 11:57:16,4,2,1,4,5,5,,1,,3,2,,,,3,,,4,4,5,,4,,2,2
11-22-2019 11:57:54,3,5,1,3,,,4,5,,1,2,5,3,,,,,1,,1,,,5,2,1
11-22-2019 12:00:03,2,3,4,1,1,4,3,3,2,5,1,1,1,3,4,1,3,4,4,2,2,,,3,4
11-22-2019 12:00:56,3,,,1,,1,,4,,,,,,,,,,,,,,,,,
11-22-2019 12:01:15,5,5,1,1,4,2,1,,,5,,,,,,,,4,2,5,,,,,
11-22-2019 12:02:08,4,3,2,3,2,4,2,3,,3,,,,,4,,,4,,4,,,,4,4
11-22-2019 12:02:18,1,5,4,4,3,3,2,1,1,1,1,1,1,2,1,1,1,3,3,2,1,1,1,1,3
11-22-2019 12:03:07,2,2,5,5,4,3,5,2,2,5,2,3,3,3,3,3,3,1,5,3,3,3,3,4,5
11-22-2019 12:04:49,2,3,3,1,2,2,1,2,1,2,1,1,1,1,1,1,1,2,1,3,2,1,2,1,1
11-22-2019 12:05:08,,3,4,2,,4,,,,4,,,2,,,,,4,,,,,,2,4
11-22-2019 12:06:50,4,5,5,2,1,1,2,3,3,3,5,2,2,4,2,4,4,2,1,1,4,2,4,5,4
11-22-2019 12:07:40,3,4,5,4,3,4,2,2,1,4,3,3,4,3,4,3,3,4,4,3,3,,3,3,3
11-22-2019 12:10:46,4,1,1,3,1,2,3,1,2,2,4,2,2,3,4,2,2,2,3,1,3,2,2,4,2
11-22-2019 12:12:25,5,2,1,2,1,3,3,1,2,1,1,1,1,2,4,1,1,1,5,1,1,1,1,2,3
11-22-2019 12:14:00,3,1,1,2,2,3,2,2,2,2,4,1,4,3,5,3,3,3,3,3,3,2,3,1,2
11-22-2019 12:20:25,3,1,1,2,1,3,2,2,3,3,2,1,3,3,4,1,3,3,2,2,3,4,1,1,5
11-22-2019 12:21:48,3,5,4,3,2,4,1,5,1,4,2,2,2,2,2,2,2,2,,5,1,1,1,1,1
11-22-2019 12:21:55,4,5,2,3,3,4,,3,,,,3,3,,4,,2,3,3,,3,,,,4
11-22-2019 12:22:09,1,1,1,1,1,3,1,1,1,2,1,1,1,1,4,1,1,3,1,4,1,1,1,1,1
11-22-2019 12:25:18,3,2,,2,,2,3,,,,,,,,,,,,,,,,,,
11-22-2019 12:28:41,,5,,,,,,,,,,,,,,,,,,,,,,,
11-22-2019 12:31:13,3,3,1,2,1,2,1,1,1,2,3,1,4,3,4,1,3,1,1,1,4,3,2,1,4
11-22-2019 12:34:17,5,5,4,2,2,3,,3,,2,,,2,,4,,4,3,3,4,3,,4,4,4
11-22-2019 12:38:23,3,5,2,2,2,3,3,1,2,2,2,1,2,4,3,1,4,3,1,2,1,3,3,2,1
11-22-2019 12:38:55,5,3,,3,3,3,3,,,4,,3,2,4,3,4,,4,4,2,3,3,,,4
11-22-2019 12:44:19,5,3,3,5,4,4,3,,,3,,,,,4,,,3,,3,,5,,,
11-22-2019 12:45:09,1,4,2,4,3,2,4,2,4,4,1,1,1,1,3,2,2,2,4,1,1,1,1,2,1
11-22-2019 12:51:07,3,3,4,2,1,2,4,3,2,3,2,2,3,2,4,1,3,3,2,2,2,2,3,2,3
11-22-2019 13:09:23,5,5,3,2,2,2,2,1,2,3,3,2,5,4,5,3,3,5,3,5,3,5,3,3,4
11-22-2019 13:13:20,,,1,1,2,,,,,4,2,,,,,,,4,,,,,,,3
11-22-2019 13:16:20,5,5,4,3,3,3,1,1,1,3,1,1,2,2,1,1,1,3,1,4,1,1,1,1,1
11-22-2019 13:25:10,4,2,1,2,1,3,4,1,2,1,5,2,1,5,2,1,2,2,4,2,3,5,1,4,4
11-22-2019 13:29:08,1,1,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11-22-2019 13:38:11,3,,2,,2,,,3,,2,,,,,3,,,2,2,3,,,,,2
11-22-2019 13:57:36,5,5,5,3,3,2,1,4,,5,,2,4,2,5,,2,3,3,2,2,4,3,2,2
11-22-2019 14:02:25,5,5,5,5,4,1,1,1,1,5,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
11-22-2019 14:15:04,5,5,1,3,1,4,3,1,1,2,5,1,4,1,1,4,2,1,1,1,4,1,1,1,1
11-22-2019 14:47:47,5,5,1,1,3,,,,,4,,,,,4,,,3,,,,,,,
11-22-2019 14:54:54,4,5,3,2,1,2,4,3,2,4,3,5,4,3,3,2,2,4,2,3,4,2,4,3,3
11-22-2019 15:58:05,2,,4,2,2,3,4,4,,4,,,,,,,,4,,5,,5,,4,4
11-22-2019 16:01:13,4,5,3,4,3,3,2,3,3,3,4,2,5,3,5,3,2,3,2,3,3,3,3,5,3
11-22-2019 18:39:53,4,3,3,4,1,4,5,3,3,,,4,2,3,4,,,3,3,,,,3,3,4
11-22-2019 23:40:28,1,3,3,2,1,3,3,1,1,1,3,3,1,5,2,1,1,1,5,1,1,1,3,1,3
11-23-2019 17:47:38,3,5,4,3,,,4,3,,3,,,,,,,,5,3,,,,,3,3
11-24-2019 14:53:35,3,3,1,2,1,2,1,1,1,1,1,1,1,2,2,,1,2,1,,1,1,1,2,2
11-24-2019 14:55:58,3,5,5,3,2,4,5,1,5,3,,1,1,1,5,,,,,3,,,,,
11-24-2019 14:56:03,2,,,3,,2,,,,2,,,2,3,,,,1,2,3,,,2,,
11-24-2019 15:03:38,1,4,2,2,1,3,1,1,1,1,4,1,3,1,1,1,1,1,1,1,1,1,1,1,1
11-24-2019 15:04:33,,,,,,,,,,,,,,,,,,4,,,,,,,
11-24-2019 15:09:11,1,2,3,1,1,4,1,1,1,1,4,1,1,4,5,1,1,3,2,4,3,3,3,5,3
11-24-2019 15:11:04,1,1,1,2,1,2,1,3,1,1,1,1,1,1,5,1,4,3,1,1,3,2,1,1,1
11-24-2019 15:20:21,,,4,4,,,,,,,,,,,,,,3,,,,,,,
11-24-2019 19:26:25,1,3,1,1,3,1,1,1,1,4,3,1,1,3,3,1,1,4,4,1,1,1,1,1,4
11-25-2019 9:51:48,3,4,2,2,3,2,,,,4,,,,,,,,3,3,4,,,,,
11-26-2019 8:46:55,5,3,5,5,5,3,5,4,,4,,3,3,4,4,5,4,4,4,4,3,3,4,,
11-26-2019 9:52:45,5,5,5,4,1,4,5,3,1,4,1,,5,5,4,2,4,2,1,1,4,1,4,3,3
11-26-2019 17:25:53,3,5,2,2,2,3,,1,,3,2,1,2,4,4,,5,3,4,3,4,5,,,3
11-26-2019 18:04:51,,3,,,,,5,,2,,,,2,,4,,4,,5,,,,,3,4
11-26-2019 21:00:43,3,3,3,4,2,2,5,3,2,1,2,1,4,3,5,1,3,4,2,1,2,1,1,3,3
11-26-2019 21:01:31,,,,4,,3,3,,,3,,,,,,,,4,,,,,,,4
11-26-2019 21:02:44,,,3,4,,4,,,,2,,4,,,,,,3,,,4,,,3,3
11-26-2019 21:04:47,3,1,3,3,3,5,1,3,3,4,3,3,2,3,4,3,1,3,3,3,3,3,3,4,3
11-26-2019 21:07:25,4,4,3,5,4,3,3,3,3,4,3,3,3,3,3,2,3,4,4,4,4,3,4,4,4
11-26-2019 21:10:27,4,5,1,3,1,4,5,1,3,3,4,1,4,5,5,1,1,3,4,4,1,3,3,3,3
11-26-2019 21:15:57,3,2,2,2,2,4,4,2,2,5,2,2,2,2,3,1,1,5,2,2,2,2,2,4,4
11-26-2019 21:16:15,3,1,1,3,2,3,2,1,,2,,,4,,,,,,,,,,,3,3
11-26-2019 21:18:33,,5,5,4,4,4,,,,4,,,,,,,,4,,,,,,,4
11-26-2019 21:40:05,,,4,,,,3,,,,,,,,,,,,,,,,,4,4
11-26-2019 21:52:10,1,2,2,2,2,1,2,3,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,1,2
11-26-2019 21:53:22,3,2,3,3,2,1,2,3,3,3,4,2,2,4,4,3,3,4,2,2,3,2,3,2,4
11-26-2019 22:07:09,3,5,3,2,1,1,2,4,1,2,2,1,1,1,1,1,3,2,1,1,1,1,4,3,3
11-26-2019 22:07:16,2,1,1,3,2,2,3,2,3,2,3,2,2,3,2,2,2,2,2,1,3,1,3,3,2
11-26-2019 22:23:26,2,1,3,5,2,2,2,2,1,2,1,2,1,1,2,1,1,2,1,1,,1,1,1,1
11-26-2019 22:26:12,1,1,2,3,1,1,1,1,1,1,1,4,1,1,1,1,1,2,1,1,1,1,3,3,1
11-26-2019 23:29:52,5,5,3,5,4,4,4,2,2,3,5,5,2,5,3,5,5,,,,5,,5,,3
11-26-2019 23:30:28,,,2,3,,1,,2,,4,,,,,,,,3,,,,,,3,3
11-26-2019 23:51:27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
11-27-2019 18:58:59,,,4,1,1,,3,,,3,,,,,,,,4,,,,,,3,3
